model,scenario,episode,service_rate,net_profit,total_cost,revenue,total_served,total_demand
PPO-Day8-Tuned,sunny_weekday,5,0.9709585720851447,125997.36717798309,567.6036776292603,126564.97085561235,2684983.000759902,2765291.0
PPO-Day8-Tuned,sunny_weekday,6,0.9858415960132976,128694.72323590177,510.28952419711277,129205.01276009888,2700913.1781224194,2739703.0
PPO-Day8-Tuned,sunny_weekday,7,0.9802591947851393,129096.02191484734,553.599151016213,129649.62106586355,2739914.6332703847,2795092.0
PPO-Day8-Tuned,sunny_weekday,8,0.982450031976096,127388.7100411975,554.2674584744964,127942.977499672,2693130.3432041216,2741239.0
PPO-Day8-Tuned,sunny_weekday,9,0.9759763855600925,125857.92142249647,540.5634504731279,126398.4848729696,2660748.789298503,2726243.0
PPO-Day8-Tuned,sunny_weekday,10,0.9796619159431778,126414.98491326332,521.1259141905466,126936.11082745387,2688666.453715396,2744484.0
PPO-Day8-Tuned,rainy_weekend,1,0.9867226103367064,114097.26797001615,521.7106168384198,114618.97858685457,2414262.560118726,2446749.0
PPO-Day8-Tuned,rainy_weekend,2,0.9803652673603976,114021.65916829919,524.3882519787876,114546.04742027797,2413029.8937396538,2461358.0
PPO-Day8-Tuned,rainy_weekend,3,0.9744501067756317,113997.75955311158,525.5368538419716,114523.29640695355,2400173.904699699,2463106.0
PPO-Day8-Tuned,rainy_weekend,4,0.9648576631338197,110818.6260292323,519.5099285332253,111338.13595776552,2384880.174847377,2471743.0
PPO-Day8-Tuned,rainy_weekend,5,0.9887176156987458,115145.84661594362,528.5579024642939,115674.40451840792,2423756.2051705252,2451414.0
PPO-Day8-Tuned,rainy_weekend,6,0.9868479298456259,114319.25958805214,516.2460797899403,114835.50566784208,2410023.763936986,2442143.0
PPO-Day8-Tuned,rainy_weekend,7,0.9854062745204466,115190.58968094655,515.9166065640748,115706.50628751062,2429456.1038285918,2465436.0
PPO-Day8-Tuned,rainy_weekend,8,0.978195097035393,112569.24507537151,534.1732052917359,113103.41828066325,2379692.383971688,2432738.0
PPO-Day8-Tuned,rainy_weekend,9,0.9843509932596828,113513.25724895574,528.5625652937451,114041.81981424948,2412555.692890089,2450910.0
PPO-Day8-Tuned,rainy_weekend,10,0.9849222224841749,113631.88142220657,530.7402971568517,114162.62171936342,2410660.174552257,2447564.0
PPO-Day8-Tuned,summer_peak,1,0.973867738270266,129103.58919481616,516.6004495079396,129620.1896443241,2749227.6512692226,2822999.0
PPO-Day8-Tuned,summer_peak,2,0.9682345963574616,128182.32938497496,529.3557070541428,128711.6850920291,2730589.0663132113,2820173.0
PPO-Day8-Tuned,summer_peak,3,0.9813523214674986,130976.02312817128,486.97360404836945,131462.99673221965,2767557.8053296017,2820147.0
PPO-Day8-Tuned,summer_peak,4,0.9876795742215889,130943.93342210673,520.2431819319027,131464.17660403863,2792586.9571047532,2827422.0
PPO-Day8-Tuned,summer_peak,5,0.9746334768274609,131434.39785493788,492.3862604582682,131926.78411539615,2764527.3897180795,2836479.0
PPO-Day8-Tuned,summer_peak,6,0.9891247733065931,132492.8028876749,499.8824414787814,132992.68532915367,2782106.304255588,2812695.0
PPO-Day8-Tuned,summer_peak,7,0.9746664091231215,132504.98827046625,471.3160231743241,132976.30429364057,2790012.810773618,2862531.0
PPO-Day8-Tuned,summer_peak,8,0.9748750747675178,127971.70431011618,560.4033617714886,128532.10767188767,2728958.048045965,2799290.0
PPO-Day8-Tuned,summer_peak,9,0.9767621387019891,129391.01725498479,480.70483789779246,129871.72209288258,2732710.877737884,2797724.0
PPO-Day8-Tuned,summer_peak,10,0.9803734139845524,130204.75630686684,499.4583102912875,130704.21461715813,2758550.202934384,2813775.0
PPO-Day8-Tuned,winter_low,1,0.9974309822516421,111292.96454724134,482.2232193213422,111775.18776656268,2348133.067228153,2354181.0
PPO-Day8-Tuned,winter_low,2,0.9937460989373722,110318.95713817443,493.3601827210514,110812.31732089548,2343631.9185580187,2358381.0
PPO-Day8-Tuned,winter_low,3,0.990694852661079,111358.10788187648,493.63365744636394,111851.74153932284,2342431.602561993,2364433.0
PPO-Day8-Tuned,winter_low,4,0.987893283417255,110121.2086984873,496.24142773402855,110617.45012622133,2313670.7670952966,2342025.0
PPO-Day8-Tuned,winter_low,5,0.9845954365243809,111577.18677797553,474.3322793475818,112051.51905732311,2335957.5961312763,2372505.0
PPO-Day8-Tuned,winter_low,6,0.9891449777435302,110156.97510137741,489.70483002089895,110646.6799313983,2317893.1006957465,2343330.0
PPO-Day8-Tuned,winter_low,7,0.9950028355424888,111677.08774968285,504.2248610040406,112181.31261068689,2357903.989515471,2369746.0
PPO-Day8-Tuned,winter_low,8,0.9875080623261243,110219.40048087946,487.6911950780777,110707.09167595753,2323865.1977657,2353262.0
PPO-Day8-Tuned,winter_low,9,0.9885923049316278,109483.42398873939,495.2773687473964,109978.70135748679,2324701.497038956,2351527.0
PPO-Day8-Tuned,winter_low,10,0.9931417103163289,110912.72756060421,500.72821038996335,111413.45577099417,2334920.8523306535,2351045.0
Proportional-Optimized,default,1,1.0,130521.00534403324,2090.9946559667587,132612.0,2761143.0,2761143.0
Proportional-Optimized,default,2,1.0,129889.44740742445,2134.55259257555,132024.0,2748844.0,2748844.0
Proportional-Optimized,default,3,1.0,130002.78071820736,2141.2192817926407,132144.0,2740604.0,2740604.0
Proportional-Optimized,default,4,1.0,129404.41485154629,2083.5851484537125,131488.0,2759061.0,2759061.0
Proportional-Optimized,default,5,1.0,130448.94260838628,2051.057391613722,132500.0,2765291.0,2765291.0
Proportional-Optimized,default,6,1.0,130459.37474274635,1756.6252572536469,132216.0,2739703.0,2739703.0
Proportional-Optimized,default,7,1.0,131947.71256268024,1956.2874373197556,133904.0,2795092.0,2795092.0
Proportional-Optimized,default,8,1.0,129452.79287612438,1903.207123875618,131356.0,2741239.0,2741239.0
Proportional-Optimized,default,9,1.0,128857.39815574884,2050.601844251156,130908.0,2726243.0,2726243.0
Proportional-Optimized,default,10,1.0,129188.32231032848,1931.6776896715164,131120.0,2744484.0,2744484.0
Proportional-Optimized,sunny_weekday,1,1.0,130521.00534403324,2090.9946559667587,132612.0,2761143.0,2761143.0
Proportional-Optimized,sunny_weekday,2,1.0,129889.44740742445,2134.55259257555,132024.0,2748844.0,2748844.0
Proportional-Optimized,sunny_weekday,3,1.0,130002.78071820736,2141.2192817926407,132144.0,2740604.0,2740604.0
Proportional-Optimized,sunny_weekday,4,1.0,129404.41485154629,2083.5851484537125,131488.0,2759061.0,2759061.0
Proportional-Optimized,sunny_weekday,5,1.0,130448.94260838628,2051.057391613722,132500.0,2765291.0,2765291.0
Proportional-Optimized,sunny_weekday,6,1.0,130459.37474274635,1756.6252572536469,132216.0,2739703.0,2739703.0
Proportional-Optimized,sunny_weekday,7,1.0,131947.71256268024,1956.2874373197556,133904.0,2795092.0,2795092.0
Proportional-Optimized,sunny_weekday,8,1.0,129452.79287612438,1903.207123875618,131356.0,2741239.0,2741239.0
Proportional-Optimized,sunny_weekday,9,1.0,128857.39815574884,2050.601844251156,130908.0,2726243.0,2726243.0
Proportional-Optimized,sunny_weekday,10,1.0,129188.32231032848,1931.6776896715164,131120.0,2744484.0,2744484.0
Proportional-Optimized,rainy_weekend,1,1.0,115992.3745508194,1815.625449180603,117808.0,2446749.0,2446749.0
Proportional-Optimized,rainy_weekend,2,1.0,116611.50063610077,1776.499363899231,118388.0,2461358.0,2461358.0
Proportional-Optimized,rainy_weekend,3,1.0,116797.22745764256,2054.7725423574448,118852.0,2463106.0,2463106.0
Proportional-Optimized,rainy_weekend,4,1.0,115744.19812214375,2179.8018778562546,117924.0,2471743.0,2471743.0
Proportional-Optimized,rainy_weekend,5,1.0,116470.60184955597,1589.3981504440308,118060.0,2451414.0,2451414.0
Proportional-Optimized,rainy_weekend,6,1.0,116501.95359647274,1814.0464035272598,118316.0,2442143.0,2442143.0
Proportional-Optimized,rainy_weekend,7,1.0,116256.8126835823,1639.187316417694,117896.0,2465436.0,2465436.0
Proportional-Optimized,rainy_weekend,8,1.0,115419.00109410286,1664.9989058971405,117084.0,2432738.0,2432738.0
Proportional-Optimized,rainy_weekend,9,1.0,115900.5005544424,1731.4994455575943,117632.0,2450910.0,2450910.0
Proportional-Optimized,rainy_weekend,10,1.0,115613.9866052866,1634.0133947134018,117248.0,2447564.0,2447564.0
Proportional-Optimized,summer_peak,1,1.0,133367.36379003525,2248.636209964752,135616.0,2822999.0,2822999.0
Proportional-Optimized,summer_peak,2,1.0,133126.19720715284,2397.8027928471565,135524.0,2820173.0,2820173.0
Proportional-Optimized,summer_peak,3,1.0,133408.78254771233,2159.217452287674,135568.0,2820147.0,2820147.0
Proportional-Optimized,summer_peak,4,1.0,132715.88235092163,2148.117649078369,134864.0,2827422.0,2827422.0
Proportional-Optimized,summer_peak,5,1.0,134295.55529379845,1928.4447062015533,136224.0,2836479.0,2836479.0
Proportional-Optimized,summer_peak,6,1.0,133641.13354110718,1938.8664588928223,135580.0,2812695.0,2812695.0
Proportional-Optimized,summer_peak,7,1.0,135029.74037635326,1850.2596236467361,136880.0,2862531.0,2862531.0
Proportional-Optimized,summer_peak,8,1.0,132352.62981021404,2227.3701897859573,134580.0,2799290.0,2799290.0
Proportional-Optimized,summer_peak,9,1.0,132593.46559345722,1958.534406542778,134552.0,2797724.0,2797724.0
Proportional-Optimized,summer_peak,10,1.0,132453.09140229225,2126.9085977077484,134580.0,2813775.0,2813775.0
Proportional-Optimized,winter_low,1,1.0,111382.1278346777,1681.8721653223038,113064.0,2354181.0,2354181.0
Proportional-Optimized,winter_low,2,1.0,111210.94583511353,1533.0541648864746,112744.0,2358381.0,2358381.0
Proportional-Optimized,winter_low,3,1.0,112412.43009030819,1551.5699096918106,113964.0,2364433.0,2364433.0
Proportional-Optimized,winter_low,4,1.0,111159.50889277458,1824.491107225418,112984.0,2342025.0,2342025.0
Proportional-Optimized,winter_low,5,1.0,113226.79817974567,1641.2018202543259,114868.0,2372505.0,2372505.0
Proportional-Optimized,winter_low,6,1.0,111609.81038677692,1730.1896132230759,113340.0,2343330.0,2343330.0
Proportional-Optimized,winter_low,7,1.0,112395.78848528862,1324.21151471138,113720.0,2369746.0,2369746.0
Proportional-Optimized,winter_low,8,1.0,111442.90399742126,1609.0960025787354,113052.0,2353262.0,2353262.0
Proportional-Optimized,winter_low,9,1.0,110958.41962915659,1801.5803708434105,112760.0,2351527.0,2351527.0
Proportional-Optimized,winter_low,10,1.0,111668.04119193554,1583.9588080644608,113252.0,2351045.0,2351045.0
