episode,step,rebalance_cost,num_moves
2,58,25.766435146331787,2
2,59,19.952829837799072,2
2,60,0.0,0
2,61,0.0,0
2,62,22.450730800628662,1
2,63,28.51792335510254,3
2,64,0.0,0
2,65,61.33879232406616,6
2,66,0.0,0
2,67,57.54527735710144,4
2,68,0.0,0
2,69,10.506596565246582,1
2,70,0.0,0
2,71,20.90593385696411,2
2,72,0.0,0
2,73,0.0,0
2,74,6.859650611877441,1
2,75,39.03276968002319,5
2,76,0.0,0
2,77,12.15373706817627,1
2,78,0.0,0
2,79,0.0,0
2,80,20.335960388183594,2
2,81,12.920351028442383,1
2,82,0.0,0
2,83,40.09612464904785,4
2,84,28.806264519691467,4
2,85,6.993346452713013,1
2,86,13.500343322753906,1
2,87,0.0,0
2,88,30.52205753326416,2
2,89,0.0,0
2,90,13.782048225402832,1
