#{"t_start": 1761659488.3956401, "env_id": "None"}
r,l,t
118.243455,168,13.7087
114.904162,168,13.776372
116.175249,168,14.51084
119.585773,168,14.58279
116.197771,168,14.660457
122.9617,168,14.733728
119.619578,168,14.802056
114.613,168,14.874035
119.313181,168,14.950624
117.537475,168,15.019376
116.156996,168,15.088266
115.930401,168,15.160951
120.741279,168,15.562716
119.089906,168,15.631509
117.816753,168,16.320327
119.161961,168,16.385879
120.720714,168,16.463009
115.73724,168,16.534367
117.810739,168,16.60068
118.764815,168,16.673115
120.509769,168,16.749353
120.612801,168,16.815534
118.668487,168,16.887172
121.687399,168,16.964166
115.62477,168,17.03607
120.945303,168,17.110188
119.460139,168,17.18039
122.611168,168,17.88072
117.348641,168,17.948328
116.927851,168,18.025683
118.613066,168,18.098567
119.601275,168,18.166244
118.256327,168,18.236661
122.026569,168,18.304681
121.529229,168,18.371889
116.074841,168,18.439286
119.924543,168,18.514828
121.960271,168,18.586879
121.143895,168,18.652599
117.19212,168,19.372721
120.860854,168,19.442546
119.782913,168,19.521754
118.179061,168,19.593917
122.651787,168,19.660939
117.702626,168,19.730724
118.00864,168,19.802993
112.77417,168,19.873391
119.63681,168,19.950035
119.43434,168,20.029295
114.409531,168,20.10504
119.954357,168,20.173821
118.388682,168,20.890896
113.954394,168,20.96233
119.285316,168,21.036803
115.203719,168,21.11995
121.314615,168,21.192215
123.053033,168,21.265671
119.610157,168,21.344444
115.800541,168,21.415072
118.040366,168,21.486744
120.000449,168,21.563774
121.445669,168,21.63758
119.350457,168,21.707596
116.889822,168,22.398077
119.507417,168,22.46645
119.641518,168,22.533169
122.587421,168,22.673274
114.753577,168,22.74192
118.904087,168,22.808098
121.763398,168,22.88236
120.926953,168,22.954386
120.357365,168,23.358971
121.973926,168,23.4305
119.842866,168,23.505102
122.599998,168,23.576974
118.335423,168,24.238102
119.683793,168,24.306399
116.319658,168,24.381643
118.63344,168,24.451556
123.730833,168,24.526602
121.735997,168,24.599707
116.326911,168,24.668121
118.308848,168,24.74183
121.235322,168,24.810978
121.445879,168,24.886855
118.328845,168,24.955326
117.286868,168,25.031564
121.057635,168,25.111057
120.294817,168,25.803479
122.282663,168,25.874188
117.894898,168,25.945546
119.750228,168,26.018481
118.087193,168,26.0877
119.955298,168,26.164506
117.305109,168,26.234875
114.637602,168,26.31531
122.239445,168,26.386874
118.002674,168,26.458567
115.386705,168,26.531934
118.81886,168,26.600206
116.396591,168,27.297381
119.713895,168,27.368154
118.955503,168,27.446459
116.577203,168,27.519883
115.925801,168,27.593639
122.833852,168,27.667714
118.545034,168,27.738301
118.504948,168,27.806523
116.751588,168,27.877947
116.527923,168,27.949218
119.853489,168,28.018954
117.791858,168,28.093806
121.550518,168,28.76842
123.250879,168,28.841234
118.952252,168,28.916895
121.571503,168,28.99019
116.514811,168,29.063867
115.770642,168,29.135773
118.08245,168,29.210219
120.561164,168,29.284299
119.225429,168,29.357935
118.568211,168,29.430597
119.945448,168,29.504261
117.81971,168,29.573304
121.017502,168,30.271142
120.127688,168,30.337864
119.278298,168,30.407586
120.179337,168,30.482431
119.702571,168,30.550431
119.828068,168,30.623888
122.964793,168,30.694857
124.473218,168,31.09485
120.563118,168,31.166637
118.637275,168,31.244069
119.72333,168,31.316492
120.116495,168,31.389556
117.644734,168,32.080485
116.604729,168,32.147825
118.80271,168,32.218409
119.227333,168,32.292504
117.641178,168,32.36569
121.829815,168,32.438436
123.116344,168,32.521464
126.409417,168,32.590642
121.969684,168,32.667207
121.314843,168,32.744421
117.237484,168,32.815559
121.733244,168,32.886456
119.057597,168,32.956893
115.259318,168,33.617816
119.748141,168,33.691565
122.102596,168,33.764378
122.325472,168,33.835826
122.76994,168,33.905529
121.627036,168,33.981772
118.139363,168,34.060216
120.068603,168,34.131624
118.617003,168,34.203916
118.853455,168,34.280462
119.736796,168,34.354781
122.300068,168,34.426908
121.478812,168,35.129658
117.703465,168,35.198812
121.502432,168,35.281695
118.527889,168,35.359583
121.101798,168,35.430553
120.538408,168,35.505223
115.678781,168,35.581201
119.356732,168,35.64931
119.927548,168,35.718436
119.002599,168,35.791442
121.27406,168,35.856621
120.324338,168,35.927724
120.693113,168,36.623829
119.830249,168,36.695987
120.784047,168,36.76267
122.3192,168,36.840473
119.642218,168,36.911563
114.121945,168,36.983186
118.060017,168,37.057002
119.94905,168,37.129476
122.882041,168,37.198145
121.329775,168,37.268792
117.737205,168,37.344669
121.838573,168,37.416101
117.49313,168,38.076006
118.473897,168,38.14538
