episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
1,36,37,18.801896639168262,16,6906.0,6906.0,1.0,0.8771981033608317
1,37,38,18.297393867745996,17,7149.0,7149.0,1.0,0.953702606132254
1,38,39,15.153277762234211,17,7356.0,7356.0,1.0,0.8128467222377658
1,39,40,16.02994567900896,17,7562.0,7562.0,1.0,0.807970054320991
1,40,41,14.510604375973344,16,7815.0,7815.0,1.0,0.9974893956240266
1,41,42,13.709718534722924,15,8110.0,8110.0,1.0,1.1662902814652771
1,42,43,13.313168902881444,16,8422.0,8422.0,1.0,1.2346868310971186
1,43,44,13.347441262565553,17,8650.0,8650.0,1.0,0.8986525587374344
1,44,45,12.038441708311439,16,8839.0,8839.0,1.0,0.7439615582916885
1,45,46,11.87774764560163,16,9025.0,9025.0,1.0,0.7321222523543983
1,46,47,12.163240194320679,15,9224.0,9224.0,1.0,0.7838367598056794
1,47,48,12.304912629537284,17,9403.0,9403.0,1.0,0.7036950873704627
1,48,49,15.548070970922709,19,9532.0,9532.0,1.0,0.5004519290290773
1,49,50,15.873479075729847,19,9669.0,9669.0,1.0,0.5321265209242702
1,50,51,15.70493481401354,18,9819.0,9819.0,1.0,0.5842950651859865
1,51,52,13.985122054815292,16,9952.0,9952.0,1.0,0.5180148779451847
1,52,53,14.715685237199068,17,10066.0,10066.0,1.0,0.44128431476280094
1,53,54,15.055519729852676,17,10204.0,10204.0,1.0,0.5369444802701473
1,54,55,14.870864242315292,17,10359.0,10359.0,1.0,0.6051291357576847
1,55,56,14.083834640681744,19,10545.0,10545.0,1.0,0.7299161653593182
1,56,57,13.187680453062057,17,10803.0,10803.0,1.0,1.0188123195469379
1,57,58,13.16257455572486,17,11037.0,11037.0,1.0,0.9228374254442752
1,58,59,11.49306895583868,14,11228.0,11228.0,1.0,0.7525069310441613
1,59,60,11.522225141525269,15,11433.0,11433.0,1.0,0.8084777748584747
1,60,61,11.254703603684902,15,11634.0,11634.0,1.0,0.7927452963963151
1,61,62,10.668023444712162,15,11851.0,11851.0,1.0,0.8573319765552878
1,62,63,11.9216837156564,17,12048.0,12048.0,1.0,0.7760783162843437
1,63,64,11.335247678682208,17,12291.0,12291.0,1.0,0.9606647523213178
1,64,65,11.438972275704145,17,12552.0,12552.0,1.0,1.0325610277242958
1,65,66,11.424316246062517,17,12846.0,12846.0,1.0,1.1645756837539374
1,66,67,12.354222252964973,16,13123.0,13123.0,1.0,1.095645777747035
1,67,68,13.902779769152403,16,13356.0,13356.0,1.0,0.9180972202308476
1,68,69,13.274291258305311,17,13593.0,13593.0,1.0,0.9347257087416947
1,69,70,13.21210477501154,16,13806.0,13806.0,1.0,0.8387878952249884
1,70,71,13.558592550456524,15,13970.0,13970.0,1.0,0.6424414074495435
1,71,72,13.438139766454697,15,14144.0,14144.0,1.0,0.6825618602335453
1,72,73,13.768096193671227,16,14286.0,14286.0,1.0,0.5542319038063288
1,73,74,13.56738730892539,17,14450.0,14450.0,1.0,0.6424326126910747
1,74,75,13.377450045198202,17,14590.0,14590.0,1.0,0.5466225499548018
1,75,76,13.072764825075865,17,14707.0,14707.0,1.0,0.4549272351749241
1,76,77,13.876746866852045,17,14832.0,14832.0,1.0,0.48612325313314797
1,77,78,12.789377638604492,17,14966.0,14966.0,1.0,0.5232106223613955
1,78,79,12.601305283606052,16,15124.0,15124.0,1.0,0.619398694716394
1,79,80,10.677401716820896,20,15314.0,15314.0,1.0,0.7493225982831792
1,80,81,11.1561100743711,17,15588.0,15588.0,1.0,1.084843889925629
